code,rate
AED,3.6725
AFN,68.026904
XCD,2.7
ALL,119.099667
AMD,482.716394
ANG,1.79
AOA,165.9159507
ARS,16.5532078
EUR,0.887039
AUD,1.304983
AWG,1.79
AZN,1.721155
BAM,1.735465
BBD,2
BDT,80.437542
XOF,582.09455
BGN,1.734872
BHD,0.376
BIF,1729.055
BND,1.380581
BOB,6.91
BRL,3.190632719
BSD,1
BTN,65.121569
BWP,10.347421
BYN,1.928792
BZD,2
CAD,1.298099
CDF,1464.417932
XAF,582.09455
CHF,0.98465
CLP,649.328785
CNY,6.758703
COP,2951.366044
CRC,567.51309
CVE,97.806938
CZK,23.371739
DJF,177.72
DKK,6.598267
DOP,47.534358
DZD,110.861134
EGP,17.782534
ERN,15.375
ETB,23.866104
FJD,2.066883
USD,1
GBP,0.776964
GEL,2.509542
GHS,4.350633
GMD,46.607527
GTQ,7.347939
GYD,206.5
HKD,7.792856
HNL,23.487084
HRK,6.620215
HTG,64.76968
HUF,274.277214
IDR,13380.65297
ILS,3.599328
INR,65.128888
IQD,1184
IRR,33249.16667
ISK,106.7804
JMD,127.964544
JOD,0.71
JPY,112.194306
KES,103.410916
KGS,68.866668
KHR,4050.579986
KMF,436.570913
KRW,1130.818294
KWD,0.303348
KYD,1.2
KZT,326.022236
LAK,8351.526075
LBP,1507.5
LKR,152.434618
LRD,112.706667
LSL,13.333781
LYD,1.39382
MAD,9.691998
MDL,18.499035
MGA,3116.11
MKD,54.64498
MMK,1360.358707
MNT,2439.777205
MOP,8.026001
MRO,357.944167
MUR,34.452735
MVR,15.386969
MWK,730.2725
MXN,18.911244
MYR,4.300306
MZN,63.584323
NAD,13.3129
NGN,305.790109
NIO,30.05094134
NOK,8.265782
NPR,104.16298
NZD,1.407427
OMR,0.3845
PAB,1
PEN,3.261353414
PGK,3.188788
PHP,50.413971
PKR,105.444023
PLN,3.777083
PYG,5618.933452
QAR,3.64
RON,4.051266
RSD,107.4946913
RUB,58.36246
RWF,831.530787
SAR,3.750123
SBD,7.88739
SCR,13.647842
SDG,6.68336
SEK,8.544253
SGD,1.381058
SLL,7384.432222
SRD,7.487661
SSP,113.6475
STD,21741.13836
SVC,8.75
SZL,13.333781
THB,33.938246
TJS,8.549742
TMT,3.5
TND,2.41988
TOP,2.205973
TRY,3.648063
TTD,6.753731
TWD,30.433453
TZS,2228.857629
UAH,26.593613
UGX,3611.224458
UYU,28.654455
UZS,5202.7075
VEF,9.975
VND,22370.08667
VUV,107.820833
WST,2.554377
XDR,0.7213
YER,214.89
ZAR,13.319565
ZMW,9.519501
